place,Type,Open,lat,long,notes1,notes2,website
Double Barrel Tavern,Bar,open,45.50476418,-122.645486,Outside Seating,,"https://www.google.com/maps/place/Double+Barrel+Tavern/@45.5049801,-122.6463498,18.79z/data=!3m1!5s0x5495a08298fcb885:0x75bce943b5a1c5cc!4m5!3m4!1s0x5495a11d9580dfdb:0x80fb01922fe2de45!8m2!3d45.5047374!4d-122.6454653"
CRUZROOM,Bar,open,45.55896824,-122.6411515,Covered Patio,,"https://www.google.com/maps/place/CRUZROOM/@45.5590366,-122.6414079,19.39z/data=!4m5!3m4!1s0x5495a6dfea45eaa7:0x2642353ab2de3d6f!8m2!3d45.5589658!4d-122.6411527"
Great Notion Brewing,Bar,open,45.55889275,-122.6425976,Covered Patio,Sours,"https://www.google.com/maps/place/Great+Notion+Brewing+-+Alberta/@45.5588867,-122.6428701,19.43z/data=!4m5!3m4!1s0x5495a6dff7ce49d1:0x560dd6f5f54e1bb0!8m2!3d45.5588585!4d-122.6426192"
Pine State Biscuits,Food,open,45.55899163,-122.6427401,Biscuits & Gravy,,"https://www.google.com/maps/place/Pine+State+Biscuits+%7C+Alberta/@45.5588867,-122.6428701,19.43z/data=!3m1!5s0x5495a6dff7694799:0xc2f5253e04f56a51!4m12!1m6!3m5!1s0x5495a6dff7ce49d1:0x560dd6f5f54e1bb0!2sGreat+Notion+Brewing+-+Alberta!8m2!3d45.5588585!4d-122.6426192!3m4!1s0x5495a6dff9e5058d:0x16c46437f9ddd377!8m2!3d45.5589918!4d-122.6427359"
Proud Mary,Coffee,open,45.55898328,-122.6444055,Coffee,,"https://www.google.com/maps/place/Proud+Mary+Cafe/@45.5593196,-122.6444421,18.91z/data=!3m1!5s0x5495a7201c53189d:0xdf526e0eba83c8a1!4m12!1m6!3m5!1s0x5495a6dff7ce49d1:0x560dd6f5f54e1bb0!2sGreat+Notion+Brewing+-+Alberta!8m2!3d45.5588585!4d-122.6426192!3m4!1s0x0:0xf06daafd81449972!8m2!3d45.5589815!4d-122.6444064"
Eem Thai BBQ & Cocktails,Food,open,45.55069815,-122.666501,Thai,,"https://www.google.com/maps/place/Eem+-+Thai+BBQ+%26+Cocktails/@45.5507692,-122.667055,18.18z/data=!4m12!1m6!3m5!1s0x5495a6dff7ce49d1:0x560dd6f5f54e1bb0!2sGreat+Notion+Brewing+-+Alberta!8m2!3d45.5588585!4d-122.6426192!3m4!1s0x5495a75a2a3cad39:0x864d1c31d67196fd!8m2!3d45.5506961!4d-122.6665013"
Bar Bar,Food,open,45.55153641,-122.6757311,Burgers,,"https://www.google.com/maps/place/Bar+Bar/@45.5515279,-122.6756134,18.41z/data=!3m1!5s0x5495a76a4d9a3ccb:0x496d3c12fe6b3c54!4m12!1m6!3m5!1s0x5495a76a4c4ec463:0xa13fff0343ed5bf!2sMississippi+Studios!8m2!3d45.5514423!4d-122.6756694!3m4!1s0x5495a76a4da40001:0x42c922768f618961!8m2!3d45.5515015!4d-122.6757729"
The Rambler,Bar,open,45.55408962,-122.6757033,Covered Patio,,"https://www.google.com/maps/place/The+Rambler/@45.5540047,-122.6755015,19.53z/data=!3m1!5s0x5495a76b60db0a67:0xef7483cf60e194cf!4m12!1m6!3m5!1s0x5495a76a4c4ec463:0xa13fff0343ed5bf!2sMississippi+Studios!8m2!3d45.5514423!4d-122.6756694!3m4!1s0x5495a76b61204467:0xfae14c65184a0756!8m2!3d45.5540718!4d-122.675706"
Prost!,Bar,open,45.55451628,-122.675664,Covered Patio,,"https://www.google.com/maps/place/Prost!/@45.5538624,-122.6752079,17.05z/data=!3m1!5s0x5495a76ca0f7aea1:0x5c7b75d2419c8474!4m12!1m6!3m5!1s0x5495a76ca1b38353:0xf04aa767a40c54c6!2sProst*21!8m2!3d45.5545085!4d-122.6757052!3m4!1s0x5495a76ca1b38353:0xf04aa767a40c54c6!8m2!3d45.5545085!4d-122.6757052"
Pip's Original Doughnuts and Chai,Food,open,45.54843294,-122.613791,"Donuts, Chai",,"https://www.google.com/maps/place/Pip's+Original+Doughnuts+%26+Chai/@45.548324,-122.6143398,18.23z/data=!3m1!5s0x5495a6d2c83ea45b:0xeb4db1fabd74b5b5!4m5!3m4!1s0x5495a6d2c8494931:0xb0ca4c4b82cf63eb!8m2!3d45.5483794!4d-122.6138045"
Grand Central Bakery,Food,open,45.54821223,-122.6170537,Cafe,,"https://www.google.com/maps/place/Grand+Central+Bakery+-+Beaumont+cafe/@45.5482681,-122.6174054,18.26z/data=!4m5!3m4!1s0x5495a6d317b0523b:0xaaeab17e2dccaaef!8m2!3d45.5482013!4d-122.6170548"
Best Baguette,Food,open,45.4970788,-122.5772681,Vietnamese Bánh Mi,,"https://www.google.com/maps/place/Best+Baguette/@45.4971746,-122.5776544,18.13z/data=!4m5!3m4!1s0x5495a049d1ade44d:0xae5a29db0fc24304!8m2!3d45.4971298!4d-122.5772523"
Rose VL Deli,Food,open,45.49716813,-122.5966729,Vietnamese Bánh Mi & Soups,Limited Daily Menu,"https://www.google.com/maps/place/Rose+VL+Deli/@45.4973818,-122.5973327,18.43z/data=!3m1!5s0x5495a0424ecdc09b:0x8d3367d19a2609b3!4m5!3m4!1s0x0:0xb559d8687ef3ff83!8m2!3d45.4971597!4d-122.5966769"
HA & VL Deli,Food,open,45.50267088,-122.5785086,Vietnamese Bánh Mi & Soups,Limited Daily Menu,"https://www.google.com/maps/place/HA+%26+VL+Vietnamese+Noodle+Soup/@45.5025758,-122.5789638,18.76z/data=!3m1!5s0x5495a048fc4420a7:0xcca61132df517f24!4m5!3m4!1s0x5495a04c3de68bd1:0xb7873ecee4585442!8m2!3d45.5026581!4d-122.578503"
Siri Thai,Food,open,45.49731344,-122.6082058,Thai,,"https://www.google.com/maps/place/Siri+Thai/@45.4968599,-122.6091812,18.18z/data=!3m1!5s0x5495a0661c918a5b:0xc1d7fce03a1267c4!4m12!1m6!3m5!1s0x5495a04c3de68bd1:0xb7873ecee4585442!2sHA+%26+VL+Vietnamese+Noodle+Soup!8m2!3d45.5026581!4d-122.578503!3m4!1s0x5495a0661cf2bc83:0x3ca811fe08f8e4b3!8m2!3d45.497303!4d-122.608199"
Pad Thai Kitchen,Food,open,45.51667267,-122.6422828,Thai,Big portions,"https://www.google.com/maps/place/Pad+Thai+Kitchen/@45.5169646,-122.6430323,16.92z/data=!3m1!5s0x5495a097edf9c5e9:0x7977de12e43d8a69!4m12!1m6!3m5!1s0x5495a04c3de68bd1:0xb7873ecee4585442!2sHA+%26+VL+Vietnamese+Noodle+Soup!8m2!3d45.5026581!4d-122.578503!3m4!1s0x0:0x46fd9f4c936972f1!8m2!3d45.5166513!4d-122.6422827"
